,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
166,201708,여자,(10~19세),15187,2327,70,76,232,256,176,230,246,84,126,2722,0,2013,1880,1971,1568,0,1210,0,0
167,201708,여자,(20~29세),14223,2928,143,153,307,456,399,378,312,141,148,2005,0,2021,951,1484,1197,0,1200,0,0
168,201708,여자,(30~39세),26034,3216,121,150,301,444,289,384,259,117,116,4169,0,3788,2711,3835,3407,0,2727,0,0
169,201708,여자,(40~49세),23321,3469,128,172,390,485,320,404,387,182,189,3990,0,3176,2830,2856,2408,0,1935,0,0
170,201708,여자,(50~59세),15496,3226,219,262,524,787,541,643,498,349,217,1876,0,1583,941,1404,1189,0,1237,0,0
171,201708,여자,(60~69세),10153,2298,183,284,446,755,434,578,441,343,171,836,0,860,474,791,733,0,526,0,0
172,201708,여자,(70~79세),6472,1620,148,244,382,608,316,524,418,253,165,376,0,439,215,360,246,0,158,0,0
173,201708,여자,(80~89세),3753,776,115,206,210,408,196,284,258,219,113,216,0,270,127,171,87,0,97,0,0
174,201708,여자,(90~99세),562,118,13,30,21,70,20,52,44,28,7,30,0,37,27,29,20,0,16,0,0
175,201708,여자,(100세_이상),24,4,0,0,1,2,2,1,1,2,2,1,0,1,1,3,2,0,1,0,0
176,201709,남자,(0~9세),19986,2357,62,72,226,242,131,238,181,64,83,3391,0,2701,2390,2856,2766,0,2226,0,0
177,201709,남자,(10~19세),15646,2442,83,107,248,270,196,295,279,89,126,2774,0,2065,2021,1903,1529,0,1219,0,0
178,201709,남자,(20~29세),14745,3468,218,208,460,585,544,525,388,234,186,2014,0,1599,863,1301,1013,0,1139,0,0
179,201709,남자,(30~39세),24597,3555,200,227,494,592,563,521,371,212,163,3737,0,3159,2081,3195,3027,0,2500,0,0
180,201709,남자,(40~49세),26421,4080,266,242,559,725,584,623,524,285,266,4245,0,3313,2947,3105,2584,0,2073,0,0
181,201709,남자,(50~59세),16766,3385,305,359,656,1002,639,757,634,477,270,2021,0,1660,1073,1346,1006,0,1176,0,0
182,201709,남자,(60~69세),9943,2232,206,329,411,839,471,651,445,403,191,803,0,712,430,663,627,0,530,0,0
183,201709,남자,(70~79세),4953,1246,115,162,303,450,257,383,289,232,118,280,0,326,140,302,213,0,137,0,0
184,201709,남자,(80~89세),1810,411,45,86,120,195,116,184,146,95,46,81,0,99,47,67,48,0,24,0,0
185,201709,남자,(90~99세),150,41,5,6,10,15,6,8,10,6,6,9,0,15,5,4,2,0,2,0,0
186,201709,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,201709,여자,(0~9세),19145,2248,54,98,207,215,138,228,172,50,87,3345,0,2539,2230,2829,2550,0,2155,0,0
188,201709,여자,(10~19세),15339,2318,69,75,228,255,177,233,242,82,125,2811,0,2021,1898,1968,1590,0,1247,0,0
189,201709,여자,(20~29세),14342,2924,145,153,312,454,402,375,316,140,150,2116,0,2026,945,1475,1179,0,1230,0,0
190,201709,여자,(30~39세),26238,3196,123,146,299,447,282,384,262,116,118,4380,0,3789,2696,3833,3399,0,2768,0,0
191,201709,여자,(40~49세),23557,3474,129,171,388,476,321,406,385,178,190,4135,0,3186,2841,2868,2429,0,1980,0,0
192,201709,여자,(50~59세),15609,3201,223,266,520,786,540,641,500,348,218,1985,0,1583,945,1399,1195,0,1259,0,0
193,201709,여자,(60~69세),10265,2317,184,286,453,756,430,580,441,346,170,891,0,856,470,804,743,0,538,0,0
194,201709,여자,(70~79세),6475,1610,145,239,380,608,309,521,419,254,167,392,0,446,217,361,244,0,163,0,0
195,201709,여자,(80~89세),3781,785,116,204,209,408,199,286,257,218,114,228,0,267,127,171,88,0,104,0,0
196,201709,여자,(90~99세),571,116,13,31,22,69,19,53,44,29,7,36,0,38,29,29,21,0,15,0,0
197,201709,여자,(100세_이상),24,4,0,0,1,3,2,1,1,2,2,0,0,2,1,3,1,0,1,0,0
198,201710,남자,(0~9세),20150,2327,64,71,221,240,127,238,179,69,82,1745,1773,2696,2400,2835,2763,0,2320,0,0
199,201710,남자,(10~19세),15783,2431,81,101,248,270,194,297,278,89,126,1695,1161,2072,2030,1910,1531,0,1269,0,0
200,201710,남자,(20~29세),14907,3468,217,205,463,575,544,535,393,230,184,818,1285,1610,872,1295,1010,0,1203,0,0
201,201710,남자,(30~39세),24869,3527,209,219,489,586,563,518,369,213,163,1444,2461,3171,2065,3177,3004,0,2691,0,0
202,201710,남자,(40~49세),26690,4060,270,244,558,722,584,625,526,286,268,2384,1989,3326,2946,3113,2598,0,2191,0,0
203,201710,남자,(50~59세),16918,3402,305,360,650,990,643,765,626,474,267,1057,1066,1655,1078,1354,1004,0,1222,0,0
